Battery temp, Charger temp, Battery voltage, Battery current, Battery capacity
25,Not,7391,4456,1
25,Not,7400,4454,1
25,Not,7408,4453,1
25,Not,7415,4453,1
25,Not,7422,4452,1
25,Not,7430,4452,1
25,Not,7437,4451,1
25,Not,7444,4451,2
25,Not,7450,4450,2
25,Not,7458,4450,2
25,Not,7464,4450,2
25,Not,7470,4449,2
25,Not,7476,4449,2
25,Not,7481,4449,2
25,Not,7490,4448,2
25,Not,7495,4448,2
25,Not,7501,4448,2
25,Not,7506,4448,2
25,Not,7511,4447,2
25,Not,7517,4448,2
25,Not,7522,4448,2
25,Not,7527,4448,2
25,Not,7532,4447,2
25,Not,7538,4447,2
25,Not,7542,4447,2
25,Not,7547,4447,2
25,Not,7552,4447,2
25,Not,7557,4447,2
25,Not,7562,4447,2
25,Not,7567,4447,2
25,Not,7571,4447,2
25,Not,7576,4446,2
25,Not,7582,4447,2
25,Not,7585,4446,2
25,Not,7590,4447,2
25,Not,7594,4446,2
25,Not,7598,4446,2
25,Not,7602,4446,2
25,Not,7606,4446,2
25,Not,7610,4446,2
25,Not,7613,4446,2
25,Not,7616,4446,2
25,Not,7620,4446,2
25,Not,7623,4445,2
25,Not,7628,4446,2
25,Not,7631,4445,2
25,Not,7635,4445,2
25,Not,7638,4446,2
25,Not,7642,4445,2
25,Not,7646,4445,2
25,Not,7649,4445,2
25,Not,7652,4446,2
25,Not,7656,4445,2
25,Not,7661,4445,2
25,Not,7664,4445,2
25,Not,7667,4445,3
25,Not,7670,4445,3
25,Not,7673,4445,3
25,Not,7676,4445,3
25,Not,7679,4444,3
25,Not,7682,4445,3
25,Not,7685,4445,3
25,Not,7688,4445,3
25,Not,7691,4445,3
25,Not,7694,4445,3
25,Not,7696,4445,3
25,Not,7700,4445,3
25,Not,7703,4445,3
25,Not,7706,4445,3
25,Not,7709,4444,3
25,Not,7713,4444,3
25,Not,7716,4444,3
25,Not,7718,4444,3
25,Not,7721,4444,3
25,Not,7723,4444,3
25,Not,7726,4445,3
25,Not,7728,4444,3
25,Not,7731,4444,3
25,Not,7733,4445,3
25,Not,7735,4444,3
25,Not,7737,4444,3
25,Not,7740,4444,3
25,Not,7742,4444,3
25,Not,7745,4444,3
25,Not,7747,4444,3
25,Not,7749,4444,3
25,Not,7752,4444,3
25,Not,7755,4444,3
25,Not,7757,4444,3
25,Not,7759,4444,3
25,Not,7761,4443,3
25,Not,7765,4444,3
25,Not,7767,4444,3
25,Not,7770,4444,3
25,Not,7772,4443,3
25,Not,7773,4443,3
25,Not,7776,4443,3
25,Not,7778,4444,3
25,Not,7780,4443,3
25,Not,7783,4443,3
25,Not,7785,4443,3
25,Not,7787,4443,3
25,Not,7789,4444,3
25,Not,7792,4443,3
25,Not,7794,4443,4
25,Not,7795,4443,4
25,Not,7796,4444,4
25,Not,7799,4443,4
25,Not,7801,4443,4
25,Not,7803,4443,4
25,Not,7804,4443,4
25,Not,7807,4443,4
25,Not,7809,4443,4
25,Not,7811,4443,4
25,Not,7813,4443,4
25,Not,7815,4443,4
25,Not,7817,4444,4
25,Not,7818,4443,4
25,Not,7820,4443,4
25,Not,7822,4443,4
25,Not,7824,4443,4
25,Not,7825,4443,4
25,Not,7827,4443,4
25,Not,7829,4443,4
25,Not,7831,4443,4
25,Not,7833,4444,4
25,Not,7835,4443,4
25,Not,7837,4443,4
25,Not,7840,4443,4
25,Not,7841,4443,4
25,Not,7843,4443,4
25,Not,7845,4443,4
25,Not,7846,4442,4
25,Not,7848,4443,4
25,Not,7849,4443,4
25,Not,7850,4443,4
25,Not,7852,4443,4
25,Not,7853,4442,4
25,Not,7855,4443,4
25,Not,7856,4443,4
25,Not,7858,4443,4
25,Not,7860,4443,4
25,Not,7861,4443,4
25,Not,7863,4442,4
25,Not,7864,4443,4
25,Not,7866,4443,4
25,Not,7867,4443,4
25,Not,7869,4443,4
25,Not,7871,4443,4
25,Not,7872,4442,4
25,Not,7874,4443,4
25,Not,7875,4442,4
25,Not,7877,4443,4
25,Not,7878,4443,5
25,Not,7879,4442,5
25,Not,7880,4443,5
25,Not,7882,4442,5
25,Not,7883,4443,5
25,Not,7884,4443,5
25,Not,7885,4443,5
25,Not,7886,4442,5
25,Not,7887,4443,5
25,Not,7888,4443,5
25,Not,7890,4443,5
25,Not,7890,4443,5
25,Not,7892,4443,5
25,Not,7893,4443,5
25,Not,7894,4442,5
25,Not,7895,4443,5
25,Not,7897,4443,5
25,Not,7898,4443,5
25,Not,7899,4443,5
25,Not,7900,4443,5
25,Not,7900,4442,5
25,Not,7901,4443,5
25,Not,7902,4442,5
25,Not,7903,4443,5
25,Not,7904,4442,5
25,Not,7906,4443,5
25,Not,7906,4442,5
25,Not,7907,4443,5
25,Not,7908,4442,5
25,Not,7908,4443,5
25,Not,7909,4442,5
25,Not,7910,4443,5
25,Not,7910,4442,5
25,Not,7911,4442,5
25,Not,7911,4443,5
25,Not,7912,4442,5
25,Not,7913,4442,5
25,Not,7915,4443,5
25,Not,7916,4442,5
25,Not,7916,4442,5
25,Not,7915,4442,5
25,Not,7916,4442,5
25,Not,7916,4442,5
25,Not,7917,4442,5
25,Not,7917,4442,5
25,Not,7918,4442,5
25,Not,7918,4442,5
25,Not,7919,4443,5
25,Not,7919,4442,5
25,Not,7919,4442,6
25,Not,7921,4442,6
25,Not,7920,4443,6
25,Not,7920,4442,6
25,Not,7923,4442,6
25,Not,7923,4443,6
25,Not,7921,4442,6
25,Not,7921,4443,6
25,Not,7923,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4443,6
25,Not,7923,4443,6
25,Not,7923,4442,6
25,Not,7923,4442,6
25,Not,7923,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7924,4442,6
25,Not,7926,4442,6
25,Not,7927,4442,6
25,Not,7927,4442,6
25,Not,7928,4442,6
25,Not,7927,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7927,4442,6
25,Not,7925,4442,6
25,Not,7926,4442,6
25,Not,7926,4441,6
25,Not,7925,4443,6
25,Not,7925,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7925,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,6
25,Not,7928,4442,6
25,Not,7928,4442,6
25,Not,7928,4442,6
25,Not,7928,4442,6
25,Not,7926,4442,6
25,Not,7926,4442,7
25,Not,7927,4442,7
25,Not,7927,4442,7
25,Not,7927,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7927,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7928,4442,7
25,Not,7928,4442,7
25,Not,7928,4442,7
25,Not,7928,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4441,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7927,4441,7
25,Not,7926,4442,7
25,Not,7927,4442,7
25,Not,7928,4442,7
25,Not,7928,4441,7
25,Not,7926,4442,7
25,Not,7926,4441,7
25,Not,7928,4442,7
25,Not,7928,4442,7
25,Not,7928,4441,7
25,Not,7928,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4442,7
25,Not,7926,4441,7
25,Not,7926,4441,7
25,Not,7926,4441,7
25,Not,7926,4442,7
25,Not,7926,4441,7
25,Not,7926,4441,8
25,Not,7926,4442,8
25,Not,7926,4442,8
25,Not,7928,4442,8
25,Not,7928,4442,8
25,Not,7928,4441,8
25,Not,7928,4441,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7926,4442,8
25,Not,7927,4441,8
25,Not,7926,4442,8
25,Not,7926,4442,8
25,Not,7926,4442,8
25,Not,7926,4441,8
25,Not,7926,4442,8
25,Not,7926,4441,8
25,Not,7926,4441,8
25,Not,7926,4441,8
25,Not,7926,4441,8
25,Not,7926,4442,8
25,Not,7928,4442,8
25,Not,7928,4441,8
25,Not,7928,4442,8
25,Not,7928,4441,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7928,4442,8
25,Not,7928,4442,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7928,4442,8
25,Not,7928,4441,8
25,Not,7927,4441,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7927,4441,8
25,Not,7927,4442,8
25,Not,7927,4442,8
25,Not,7929,4442,8
25,Not,7929,4441,8
25,Not,7929,4441,8
25,Not,7929,4441,8
25,Not,7928,4441,8
25,Not,7928,4441,8
25,Not,7928,4442,9
25,Not,7928,4441,9
25,Not,7928,4442,9
25,Not,7928,4441,9
25,Not,7928,4441,9
25,Not,7928,4441,9
25,Not,7928,4441,9
25,Not,7929,4442,9
25,Not,7929,4441,9
25,Not,7929,4442,9
25,Not,7931,4442,9
25,Not,7931,4441,9
25,Not,7931,4441,9
25,Not,7929,4441,9
25,Not,7931,4441,9
25,Not,7931,4441,9
25,Not,7931,4441,9
25,Not,7931,4442,9
25,Not,7929,4442,9
25,Not,7929,4441,9
25,Not,7930,4441,9
25,Not,7930,4441,9
25,Not,7929,4441,9
26,Not,7930,4442,9
26,Not,7930,4441,9
25,Not,7930,4442,9
25,Not,7930,4441,9
25,Not,7930,4441,9
25,Not,7930,4441,9
26,Not,7930,4441,9
26,Not,7930,4442,9
26,Not,7933,4441,9
26,Not,7933,4441,9
26,Not,7933,4442,9
26,Not,7934,4441,9
26,Not,7932,4442,9
